Module ID,Phrase ID,Korean,Japanese (Intent)
"l1_first_words","p11","맛있어요!","美味しい！"
"l1_first_words","p12","어디예요?","どこですか？"
"l1_first_words","p13","또 만나요","また会いましょう。"
"l1_first_words","p14","진짜요?","本当ですか？"
"l1_first_words","p15","너무 비싸요","高すぎます。"
"l1_first_words","p16","피곤해요","疲れました。"
"l1_first_words","p17","잘 먹겠습니다","いただきます。"
"l1_first_words","p18","여기 앉아도 돼요?","ここに座ってもいいですか？"
"l1_first_words","p19","천천히 말해 주세요","ゆっくり話してください。"
"l1_first_words","p20","오늘 날씨 좋다","今日はいい天気だ。"
"l1_first_words","p21","집에 가고 싶어","家に帰りたい。"
"l1_first_words","p22","커피 한 잔","コーヒー一杯。"
"l1_first_words","p23","기분이 좋아요","気分がいいです。"
"l1_first_words","p24","엄마한테 전화해","お母さんに電話して。"
"l1_first_words","p25","빨리 오세요","早く来てください。"
"l1_first_words","p26","시간 없어요","時間がないです。"
"l1_first_words","p27","그거 싫어","それ嫌だ。"
"l1_first_words","p28","이름이 뭐예요?","お名前は何ですか？"
"l1_first_words","p29","많이 먹어","たくさん食べてね。"
"l1_first_words","p30","내일 학교 가야 돼","明日学校に行かないと。"
"l1_first_words","p31","어제 뭐 했어?","昨日何した？"
"l1_first_words","p32","친구 만나러 가요","友達に会いに行きます。"
"l1_first_words","p33","아이스 아메리카노 하나요","アイスアメリカーノ一つください。"
"l1_first_words","p34","지금 바빠요","今忙しいです。"
"l1_first_words","p35","얼마예요?","いくらですか？"
"l1_first_words","p36","더워 죽겠어","暑くて死にそう。"
"l1_first_words","p37","화장실 어디예요?","トイレはどこですか？"
"l1_first_words","p38","아빠가 요리해요","お父さんが料理します。"
"l1_first_words","p39","그래서 늦었어요","だから遅れました。"
"l1_first_words","p40","동생이 귀여워요","弟（妹）が可愛いです。"
"l1_first_words","p41","언제 와요?","いつ来ますか？"
"l1_first_words","p42","머리가 아파요","頭が痛いです。"
"l1_first_words","p43","뭐 먹을래?","何食べる？"
"l1_first_words","p44","조금만 기다려요","少しだけ待ってね。"
"l1_first_words","p45","고기 좋아해요","お肉が好きです。"
"l1_first_words","p46","비가 와요","雨が降っています。"
"l1_first_words","p47","이 사람 누구예요?","この人は誰ですか？"
"l1_first_words","p48","왜 그래?","どうしたの？"
"l1_first_words","p49","문 닫아 주세요","ドアを閉めてください。"
"l1_first_words","p50","나도 갈래","私も行きたい。"
"l1_first_words","p51","눈이 와요","雪が降っています。"
"l1_first_words","p52","전화번호 알려 주세요","電話番号を教えてください。"
"l1_first_words","p53","카드로 할게요","カードで払います。"
"l1_first_words","p54","손 씻어","手を洗って。"
"l1_first_words","p55","어떻게 해요?","どうしますか？"
"l1_first_words","p56","밖에 나가자","外に出よう。"
"l1_first_words","p57","배 불러요","お腹いっぱいです。"
"l1_first_words","p58","선생님 안녕하세요","先生、こんにちは。"
"l1_first_words","p59","그냥 보고 있어요","見てるだけです。"
"l1_first_words","p60","작아요","小さいです。"
"l1_first_words","p61","이거 너무 커요","これ大きすぎます。"
"l1_first_words","p62","택시 타요","タクシー乗りましょう。"
"l1_first_words","p63","무슨 뜻이에요?","どういう意味ですか？"
"l1_first_words","p64","같이 가요","一緒に行きましょう。"
"l1_first_words","p65","돈이 없어","お金がないよ。"
"l1_first_words","p66","하지만 재밌어요","でも楽しいですよ。"
"l1_first_words","p67","오빠 보고 싶어","お兄ちゃんに会いたい。"
"l1_first_words","p68","이 옷 예뻐요","この服かわいい。"
"l1_first_words","p69","여기서 가까워요","ここから近いです。"
"l1_first_words","p70","무서워요","怖いです。"
"l1_first_words","p71","사진 찍어 주세요","写真を撮ってください。"
"l1_first_words","p72","새로 샀어요","新しく買いました。"
"l1_first_words","p73","저기 봐요","あそこ見て。"
"l1_first_words","p74","잘 모르겠어요","よく分かりません。"
"l1_first_words","p75","아침에 일어났어","朝起きたよ。"
"l1_first_words","p76","걱정하지 마요","心配しないで。"
"l1_first_words","p77","오래 기다렸어요?","長く待ちましたか？"
"l1_first_words","p78","저녁 같이 먹어요","夕飯一緒に食べましょう。"
"l1_first_words","p79","전화 받아","電話出て。"
"l1_first_words","p80","늦어서 미안해","遅れてごめんね。"
"l1_first_words","p81","그 영화 봤어요?","あの映画見ましたか？"
"l1_first_words","p82","뭐가 달라요?","何が違うんですか？"
"l1_first_words","p83","노래 불러요","歌を歌います。"
"l1_first_words","p84","길이 막혀요","道が渋滞しています。"
"l1_first_words","p85","전 학생이에요","私は学生です。"
"l1_first_words","p86","다 왔어요","もう着きました。"
"l1_first_words","p87","와! 진짜 맛있다","わぁ！本当に美味しい！"
"l1_first_words","p88","숙제 했어?","宿題した？"
"l1_first_words","p89","여기 자리 있어요?","ここ席ありますか？"
"l1_first_words","p90","매워요?","辛いですか？"
"l1_first_words","p91","하나 더 주세요","もう一つください。"
"l1_first_words","p92","어디 가요?","どこ行くんですか？"
"l1_first_words","p93","정말 감사해요","本当にありがとうございます。"
"l1_first_words","p94","추워요 오늘","今日は寒い。"
"l1_first_words","p95","책 읽고 있어","本読んでるよ。"
"l1_first_words","p96","언니 도와줘","お姉ちゃん助けて。"
"l1_first_words","p97","어서 오세요","いらっしゃいませ。"
"l1_first_words","p98","우유 마실래?","牛乳飲む？"
"l1_first_words","p99","많이 늦었어","すごく遅れちゃった。"
"l1_first_words","p100","다음에 또 와요","今度またお越しください。"
"l1_first_words","p101","몇 시예요?","何時ですか？"
"l1_first_words","p102","잘 자요","おやすみなさい。"
"l1_first_words","p103","여기 앉으세요","ここにお座りください。"
"l1_first_words","p104","맵지 않아요","辛くないですよ。"
"l1_first_words","p105","전 괜찮아요","私は大丈夫です。"
"l1_first_words","p106","오늘 뭐 해요?","今日何しますか？"
"l1_first_words","p107","라면 끓여","ラーメン作って。"
"l1_first_words","p108","어디서 살아요?","どこに住んでいますか？"
"l1_first_words","p109","그리고 이것도","あとこれも。"
"l1_first_words","p110","게임 하고 싶어","ゲームしたい。"
"l1_first_words","p111","핸드폰 어디 있어?","携帯どこにある？"
"l1_first_words","p112","슬퍼요","悲しいです。"
"l1_first_words","p113","기뻐요!","嬉しいです！"
"l1_first_words","p114","지하철 타세요","地下鉄に乗ってください。"
"l1_first_words","p115","다 먹었어요","全部食べました。"
"l1_first_words","p116","싸요! 이거","安い！これ！"
"l1_first_words","p117","운동 안 했어","運動してないよ。"
"l1_first_words","p118","누나 어디 갔어?","お姉ちゃんどこ行った？"
"l1_first_words","p119","빵 사 왔어","パン買ってきたよ。"
"l1_first_words","p120","창문 열어 주세요","窓を開けてください。"
"l1_first_words","p121","배 아파요","お腹が痛いです。"
"l1_first_words","p122","어렵지 않아요","難しくないですよ。"
"l1_first_words","p123","공부 열심히 해","勉強頑張ってね。"
"l1_first_words","p124","혼자 왔어요","一人で来ました。"
"l1_first_words","p125","두 명이요","二人です。"
"l1_first_words","p126","맞아요","そうです。/ 合ってます。"
"l1_first_words","p127","잘 먹었습니다","ごちそうさまでした。"
"l1_first_words","p128","이건 제 거예요","これは私のです。"
"l1_first_words","p129","날씨가 따뜻해요","天気が暖かいです。"
"l1_first_words","p130","놀러 가자!","遊びに行こう！"
"l1_first_words","p131","약 먹었어?","薬飲んだ？"
"l1_first_words","p132","고마워요","ありがとう。"
"l1_first_words","p133","색깔이 예뻐요","色がきれいです。"
"l1_first_words","p134","오른쪽으로 가세요","右に行ってください。"
"l1_first_words","p135","너무 졸려","すごく眠い。"
"l1_first_words","p136","화났어?","怒ってるの？"
"l1_first_words","p137","사과 드세요","りんごをどうぞ。"
"l1_first_words","p138","음악 듣고 있어","音楽聴いてるよ。"
"l1_first_words","p139","이쪽으로 오세요","こちらへどうぞ。"
"l1_first_words","p140","아이고, 힘들어","あぁ、大変だ。"
"l1_first_words","p141","시간이 빨라요","時間が早いですね。"
"l1_first_words","p142","좀 쉬세요","少し休んでください。"
"l1_first_words","p143","형 닮았어","お兄ちゃんに似てるね。"
"l1_first_words","p144","천 원이에요","千ウォンです。"
"l1_first_words","p145","곧 끝나요","もうすぐ終わります。"
"l1_first_words","p146","못 갔어요","行けませんでした。"
"l1_first_words","p147","우산 가져왔어?","傘持ってきた？"
"l1_first_words","p148","쉬운 거 없어?","簡単なのない？"
"l1_first_words","p149","조용히 해 주세요","静かにしてください。"
"l1_first_words","p150","맛없어요","美味しくないです。"
"l1_first_words","p151","다시 한번 해 봐","もう一回やってみて。"
"l1_first_words","p152","여기 맛집이에요","ここ美味しいお店ですよ。"
"l1_first_words","p153","숙제 다 했어?","宿題全部終わった？"
"l1_first_words","p154","나중에 연락해","後で連絡して。"
"l1_first_words","p155","밤에 뭐 해?","夜何するの？"
"l1_first_words","p156","그거 맛있어?","それ美味しい？"
"l1_first_words","p157","사람 많아요","人が多いです。"
"l1_first_words","p158","비밀이야","秘密だよ。"
"l1_first_words","p159","생일 축하해요","お誕生日おめでとうございます。"
"l1_first_words","p160","다리가 아파요","足が痛いです。"
"l1_first_words","p161","가방 놓고 왔어","バッグ忘れてきちゃった。"
"l1_first_words","p162","불 켜 줘","電気つけて。"
"l1_first_words","p163","내가 할게","私がやるよ。"
"l1_first_words","p164","이거 누구 거야?","これ誰の？"
"l1_first_words","p165","잘했어!","よくやった！"
"l1_first_words","p166","토요일에 시간 있어?","土曜日暇？"
"l1_first_words","p167","조심하세요","気をつけてください。"
"l1_first_words","p168","꽃이 예뻐요","花がきれいです。"
"l1_first_words","p169","나 먼저 갈게","先に行くね。"
"l1_first_words","p170","밥 만들어 볼까?","ご飯作ってみようか？"
"l1_first_words","p171","신발 벗으세요","靴を脱いでください。"
"l1_first_words","p172","진짜 웃겨","マジで面白い！"
"l1_first_words","p173","계란 없어?","卵ない？"
"l1_first_words","p174","어디로 갈까요?","どこに行きましょうか？"
"l1_first_words","p175","점심 먹었어?","昼ご飯食べた？"
"l1_first_words","p176","길이 멀어요","道が遠いです。"
"l1_first_words","p177","지금 바로 가요","今すぐ行きましょう。"
"l1_first_words","p178","와이파이 있어요?","Wi-Fiありますか？"
"l1_first_words","p179","엄청 맛있어요","すごく美味しいです。"
"l1_first_words","p180","영어 할 수 있어요?","英語できますか？"
"l1_first_words","p181","한국어 재밌어요","韓国語面白いです。"
"l1_first_words","p182","화이팅!","頑張れ！"
"l1_first_words","p183","핸드폰 충전해야 돼","携帯充電しなきゃ。"
"l1_first_words","p184","여행 가고 싶어요","旅行に行きたいです。"
"l1_first_words","p185","주말에 쉬어요","週末は休みます。"
"l1_first_words","p186","그런데 왜요?","ところでなぜ？"
"l1_first_words","p187","눈 감아 봐","目を閉じてみて。"
"l1_first_words","p188","배달 시켰어","出前頼んだよ。"
"l1_first_words","p189","별로예요","イマイチです。"
"l1_first_words","p190","감기 걸렸어요","風邪をひきました。"
"l1_first_words","p191","저도 같이 갈게요","私も一緒に行きます。"
"l1_first_words","p192","뭐 사 줄까?","何か買ってあげようか？"
"l1_first_words","p193","자리 바꿔도 돼요?","席変わってもいいですか？"
"l1_first_words","p194","목이 말라요","喉が渇きました。"
"l1_first_words","p195","이상해요","変です。"
"l1_first_words","p196","사탕 먹을래?","飴食べる？"
"l1_first_words","p197","잘 들어 가세요","気をつけてお帰りください。"
"l1_first_words","p198","오래간만이에요","お久しぶりです。"
"l1_first_words","p199","수고했어요","お疲れ様でした。"
"l1_first_words","p200","고마워, 진짜","ありがとう、マジで。"
"russian_roulette","p1","","私を見る時"
"russian_roulette","p2","","だんだん深く"
"russian_roulette","p3","","もう受け入れて"
"russian_roulette","p4","","最後に残った瞬間まで"
