Phrase ID,Korean,Japanese (Intent)
"p97","어서 오세요","いらっしゃいませ。"
"p98","우유 마실래?","牛乳飲む？"
"p99","많이 늦었어","すごく遅れちゃった。"
"p100","다음에 또 와요","今度またお越しください。"
"p101","몇 시예요?","何時ですか？"
"p102","잘 자요","おやすみなさい。"
"p103","여기 앉으세요","ここにお座りください。"
"p104","맵지 않아요","辛くないですよ。"
"p105","전 괜찮아요","私は大丈夫です。"
"p106","오늘 뭐 해요?","今日何しますか？"
"p107","라면 끓여","ラーメン作って。"
"p108","어디서 살아요?","どこに住んでいますか？"
"p109","그리고 이것도","あとこれも。"
"p110","게임 하고 싶어","ゲームしたい。"
"p111","핸드폰 어디 있어?","携帯どこにある？"
"p112","슬퍼요","悲しいです。"
"p113","기뻐요!","嬉しいです！"
"p114","지하철 타세요","地下鉄に乗ってください。"
"p115","다 먹었어요","全部食べました。"
"p116","싸요! 이거","安い！これ！"
"p117","운동 안 했어","運動してないよ。"
"p118","누나 어디 갔어?","お姉ちゃんどこ行った？"
"p119","빵 사 왔어","パン買ってきたよ。"
"p120","창문 열어 주세요","窓を開けてください。"
"p121","배 아파요","お腹が痛いです。"
"p122","어렵지 않아요","難しくないですよ。"
"p123","공부 열심히 해","勉強頑張ってね。"
"p124","혼자 왔어요","一人で来ました。"
"p125","두 명이요","二人です。"
"p126","맞아요","そうです。/ 合ってます。"
"p127","잘 먹었습니다","ごちそうさまでした。"
"p128","이건 제 거예요","これは私のです。"
"p129","날씨가 따뜻해요","天気が暖かいです。"
"p130","놀러 가자!","遊びに行こう！"
"p131","약 먹었어?","薬飲んだ？"
"p132","고마워요","ありがとう。"
"p133","색깔이 예뻐요","色がきれいです。"
"p134","오른쪽으로 가세요","右に行ってください。"
"p135","너무 졸려","すごく眠い。"
"p136","화났어?","怒ってるの？"
"p137","사과 드세요","りんごをどうぞ。"
"p138","음악 듣고 있어","音楽聴いてるよ。"
"p139","이쪽으로 오세요","こちらへどうぞ。"
"p140","아이고, 힘들어","あぁ、大変だ。"
"p141","시간이 빨라요","時間が早いですね。"
"p142","좀 쉬세요","少し休んでください。"
"p143","형 닮았어","お兄ちゃんに似てるね。"
"p144","천 원이에요","千ウォンです。"
"p145","곧 끝나요","もうすぐ終わります。"
"p146","못 갔어요","行けませんでした。"
"p147","우산 가져왔어?","傘持ってきた？"
"p148","쉬운 거 없어?","簡単なのない？"
"p149","조용히 해 주세요","静かにしてください。"
"p150","맛없어요","美味しくないです。"
"p151","다시 한번 해 봐","もう一回やってみて。"
"p152","여기 맛집이에요","ここ美味しいお店ですよ。"
"p153","숙제 다 했어?","宿題全部終わった？"
"p154","나중에 연락해","後で連絡して。"
"p155","밤에 뭐 해?","夜何するの？"
"p156","그거 맛있어?","それ美味しい？"
"p157","사람 많아요","人が多いです。"
"p158","비밀이야","秘密だよ。"
"p159","생일 축하해요","お誕生日おめでとうございます。"
"p160","다리가 아파요","足が痛いです。"
"p161","가방 놓고 왔어","バッグ忘れてきちゃった。"
"p162","불 켜 줘","電気つけて。"
"p163","내가 할게","私がやるよ。"
"p164","이거 누구 거야?","これ誰の？"
"p165","잘했어!","よくやった！"
"p166","토요일에 시간 있어?","土曜日暇？"
"p167","조심하세요","気をつけてください。"
"p168","꽃이 예뻐요","花がきれいです。"
"p169","나 먼저 갈게","先に行くね。"
"p170","밥 만들어 볼까?","ご飯作ってみようか？"
"p171","신발 벗으세요","靴を脱いでください。"
"p172","진짜 웃겨","マジで面白い！"
"p173","계란 없어?","卵ない？"
"p174","어디로 갈까요?","どこに行きましょうか？"
"p175","점심 먹었어?","昼ご飯食べた？"
"p176","길이 멀어요","道が遠いです。"
"p177","지금 바로 가요","今すぐ行きましょう。"
"p178","와이파이 있어요?","Wi-Fiありますか？"
"p179","엄청 맛있어요","すごく美味しいです。"
"p180","영어 할 수 있어요?","英語できますか？"
"p181","한국어 재밌어요","韓国語面白いです。"
"p182","화이팅!","頑張れ！"
"p183","핸드폰 충전해야 돼","携帯充電しなきゃ。"
"p184","여행 가고 싶어요","旅行に行きたいです。"
"p185","주말에 쉬어요","週末は休みます。"
"p186","그런데 왜요?","ところでなぜ？"
"p187","눈 감아 봐","目を閉じてみて。"
"p188","배달 시켰어","出前頼んだよ。"
"p189","별로예요","イマイチです。"
"p190","감기 걸렸어요","風邪をひきました。"
"p191","저도 같이 갈게요","私も一緒に行きます。"
"p192","뭐 사 줄까?","何か買ってあげようか？"
"p193","자리 바꿔도 돼요?","席変わってもいいですか？"
"p194","목이 말라요","喉が渇きました。"
"p195","이상해요","変です。"
"p196","사탕 먹을래?","飴食べる？"
"p197","잘 들어 가세요","気をつけてお帰りください。"
"p198","오래간만이에요","お久しぶりです。"
"p199","수고했어요","お疲れ様でした。"
"p200","고마워, 진짜","ありがとう、マジで。"
